Epoch,Total Loss,Node Loss,Node MAE,Node R2,Node NRMSE,Edge Loss,Edge MAE,Edge R2,Edge NRMSE
1,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
2,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
3,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
4,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
5,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
6,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
7,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
8,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
9,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
10,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
11,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
12,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
13,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
14,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
15,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
16,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
17,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
18,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
19,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
20,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
21,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
22,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
23,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
24,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
25,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
26,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
27,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
28,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
29,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
30,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
31,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
32,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
33,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
34,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
35,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
36,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
37,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
38,2271540.5,1200686.625,620645.75,-0.3646,1.1682,10708.5371,1620.97,-0.0235,1.0117
