Epoch,Total Loss,Node Loss,Node MAE,Node R2,Node NRMSE,Edge Loss,Edge MAE,Edge R2,Edge NRMSE
1,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
2,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
3,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
4,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
5,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
6,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
7,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
8,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
9,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
10,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
11,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
12,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
13,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
14,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
15,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
16,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
17,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
18,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
19,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
20,681050.1875,244061.8438,155915.4219,-0.6895,1.2998,4369.8833,816.9224,-0.0362,1.0179
