Epoch,Total Loss,Node Loss,Node MAE,Node R2,Node NRMSE,Edge Loss,Edge MAE,Edge R2,Edge NRMSE
1,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
2,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
3,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
4,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
5,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
6,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
7,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
8,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
9,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
10,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
11,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
12,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
13,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
14,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
15,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
16,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
17,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
18,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
19,181464.5625,91497.7422,48412.043,-0.3888,1.1785,899.6682,114.6665,-0.0165,1.0082
